split_id,model,category,precision,recall,f1_score,support
2,lexrank,AGRICULTURE,0.000000,0.000000,0.000000,1.000000
2,lexrank,APPAREL,0.500000,1.000000,0.666667,3.000000
2,lexrank,ARTS,0.000000,0.000000,0.000000,3.000000
2,lexrank,AUTOMOBILE,0.000000,0.000000,0.000000,1.000000
2,lexrank,AVIATION,0.500000,0.666667,0.571429,3.000000
2,lexrank,BANKING,0.000000,0.000000,0.000000,2.000000
2,lexrank,BPO,0.000000,0.000000,0.000000,0.000000
2,lexrank,BUSINESS-DEVELOPMENT,0.333333,0.500000,0.400000,2.000000
2,lexrank,CHEF,0.000000,0.000000,0.000000,0.000000
2,lexrank,CONSTRUCTION,0.000000,0.000000,0.000000,0.000000
2,lexrank,CONSULTANT,0.000000,0.000000,0.000000,0.000000
2,lexrank,DESIGNER,0.000000,0.000000,0.000000,0.000000
2,lexrank,DIGITAL-MEDIA,0.000000,0.000000,0.000000,0.000000
2,lexrank,ENGINEERING,0.000000,0.000000,0.000000,0.000000
2,lexrank,FINANCE,0.000000,0.000000,0.000000,0.000000
2,lexrank,FITNESS,0.000000,0.000000,0.000000,0.000000
2,lexrank,HEALTHCARE,0.000000,0.000000,0.000000,0.000000
